text_orig,text_strp_unicode,text_strp_punct
traditionalist,traditionalist,traditionalist
practice,practice,practice
put,put,put
them,them,them
at,at,at
odds,odds,odds
with,with,with
the,the,the
muslim,muslim,muslim
to,to,to
their,their,their
north,north,north
.,.,
the,the,the
senoufo,senoufo,senoufo
of,of,of
kenedougou,kenedougou,kenedougou
adopted,adopted,adopted
some,some,some
mandé,mand,mand
practice,practice,practice
such,such,such
a,a,a
the,the,the
king,king,king
title,title,title
of,of,of
faama,faama,faama
.,.,
nanka,nanka,nanka
traoré,traor,traor
became,became,became
kénédougou,kndougou,kndougou
's,'s,s
first,first,first
ruler,ruler,ruler
and,and,and
began,began,began
the,the,the
traoré,traor,traor
dynasty,dynasty,dynasty
",",",",
which,which,which
would,would,would
last,last,last
into,into,into
the,the,the
late,late,late
<<number>>,<<number>>,<<number>>
century,century,century
.,.,
there,there,there
is,is,is
little,little,little
information,information,information
about,about,about
the,the,the
kingdom,kingdom,kingdom
's,'s,s
formative,formative,formative
year,year,year
",",",",
and,and,and
approximately,approximately,approximately
five,five,five
to,to,to
seven,seven,seven
famas,famas,famas
ruled,ruled,ruled
between,between,between
the,the,the
foundation,foundation,foundation
of,of,of
the,the,the
dynasty,dynasty,dynasty
and,and,and
fama,fama,fama
douala,douala,douala
ba,ba,ba
i.,i.,i
kénédougou,kndougou,kndougou
's,'s,s
existence,existence,existence
wa,wa,wa
marked,marked,marked
by,by,by
relative,relative,relative
peace,peace,peace
compared,compared,compared
to,to,to
neighboring,neighboring,neighboring
state,state,state
of,of,of
the,the,the
period,period,period
.,.,
<<section_title_start>>,<<section_title_start>>,<<section_title_start>>
kénédougou,kndougou,kndougou
's,'s,s
resistance,resistance,resistance
<<section_title_end>>,<<section_title_end>>,<<section_title_end>>
this,this,this
would,would,would
all,all,all
come,come,come
to,to,to
an,an,an
end,end,end
in,in,in
the,the,the
last,last,last
quarter,quarter,quarter
of,of,of
the,the,the
<<number>>,<<number>>,<<number>>
century,century,century
a,a,a
the,the,the
double,double,double
threat,threat,threat
of,of,of
french,french,french
colonialist,colonialist,colonialist
and,and,and
samori,samori,samori
toure,toure,toure
began,began,began
swallowing,swallowing,swallowing
up,up,up
it,it,it
commercial,commercial,commercial
partner,partner,partner
in,in,in
the,the,the
south,south,south
",",",",
west,west,west
and,and,and
east,east,east
.,.,
possibly,possibly,possibly
anticipating,anticipating,anticipating
the,the,the
inevitable,inevitable,inevitable
outcome,outcome,outcome
",",",",
faama,faama,faama
tieba,tieba,tieba
traoré,traor,traor
moved,moved,moved
the,the,the
capital,capital,capital
of,of,of
the,the,the
kingdom,kingdom,kingdom
to,to,to
his,his,his
mother,mother,mother
's,'s,s
home,home,home
city,city,city
of,of,of
sikasso,sikasso,sikasso
in,in,in
<<year>>,<<year>>,<<year>>
.,.,
there,there,there
he,he,he
built,built,built
a,a,a
new,new,new
palace,palace,palace
called,called,called
the,the,the
mamelon,mamelon,mamelon
(,(,
sikasso,sikasso,sikasso
),),
on,on,on
a,a,a
strategic,strategic,strategic
hill,hill,hill
.,.,
the,the,the
decision,decision,decision
proved,proved,proved
wise,wise,wise
",",",",
a,a,a
tieba,tieba,tieba
and,and,and
his,his,his
successor,successor,successor
babemba,babemba,babemba
traoré,traor,traor
fought,fought,fought
a,a,a
number,number,number
of,of,of
battle,battle,battle
against,against,against
both,both,both
samori,samori,samori
toure,toure,toure
and,and,and
the,the,the
rapidly,rapidly,rapidly
advancing,advancing,advancing
french,french,french
army,army,army
.,.,
ironically,ironically,ironically
",",",",
the,the,the
small,small,small
kingdom,kingdom,kingdom
of,of,of
kénédougou,kndougou,kndougou
would,would,would
become,become,become
one,one,one
of,of,of
the,the,the
last,last,last
major,major,major
hold-outs,hold-outs,holdouts
against,against,against
french,french,french
ambition,ambition,ambition
in,in,in
west,west,west
africa,africa,africa
.,.,
the,the,the
larger,larger,larger
state,state,state
were,were,were
falling,falling,falling
like,like,like
domino,domino,domino
to,to,to
either,either,either
samori,samori,samori
's,'s,s
wassulu,wassulu,wassulu
empire,empire,empire
or,or,or
the,the,the
french,french,french
.,.,
samori,samori,samori
attacked,attacked,attacked
sikasso,sikasso,sikasso
with,with,with
an,an,an
army,army,army
of,of,of
<<number>>,<<number>>,<<number>>
men,men,men
in,in,in
april,april,april
<<year>>,<<year>>,<<year>>
",",",",
but,but,but
failed,failed,failed
to,to,to
take,take,take
the,the,the
city,city,city
.,.,
then,then,then
",",",",
from,from,from
<<year>>,<<year>>,<<year>>
to,to,to
<<year>>,<<year>>,<<year>>
",",",",
the,the,the
french,french,french
besieged,besieged,besieged
sikasso,sikasso,sikasso
but,but,but
also,also,also
met,met,met
with,with,with
defeat,defeat,defeat
.,.,
in,in,in
light,light,light
of,of,of
these,these,these
threat,threat,threat
",",",",
tieba,tieba,tieba
ordered,ordered,ordered
the,the,the
construction,construction,construction
of,of,of
a,a,a
tata,tata,tata
",",",",
or,or,or
fortification,fortification,fortification
",",",",
around,around,around
the,the,the
city,city,city
in,in,in
<<year>>,<<year>>,<<year>>
.,.,
part,part,part
of,of,of
the,the,the
tata,tata,tata
have,have,have
become,become,become
one,one,one
of,of,of
present-day,present-day,presentday
sikasso,sikasso,sikasso
's,'s,s
major,major,major
tourist,tourist,tourist
attraction,attraction,attraction
.,.,
following,following,following
tieba,tieba,tieba
's,'s,s
death,death,death
on,on,on
january,january,january
<<number>>,<<number>>,<<number>>
",",",",
<<year>>,<<year>>,<<year>>
",",",",
his,his,his
brother,brother,brother
babemba,babemba,babemba
traoré,traor,traor
assumed,assumed,assumed
the,the,the
throne,throne,throne
.,.,
he,he,he
held,held,held
the,the,the
french,french,french
at,at,at
bay,bay,bay
for,for,for
another,another,another
five,five,five
year,year,year
.,.,
in,in,in
<<year>>,<<year>>,<<year>>
",",",",
the,the,the
french,french,french
conquered,conquered,conquered
ségou,sgou,sgou
",",",",
the,the,the
capital,capital,capital
of,of,of
the,the,the
kénédougou,kndougou,kndougou
's,'s,s
northern,northern,northern
neighbor,neighbor,neighbor
",",",",
the,the,the
toucouleur,toucouleur,toucouleur
empire,empire,empire
.,.,
this,this,this
victory,victory,victory
renewed,renewed,renewed
the,the,the
france,france,france
's,'s,s
ambition,ambition,ambition
toward,toward,toward
sikasso,sikasso,sikasso
",",",",
and,and,and
they,they,they
prepared,prepared,prepared
to,to,to
take,take,take
the,the,the
city,city,city
again,again,again
determined,determined,determined
to,to,to
avenge,avenge,avenge
the,the,the
previous,previous,previous
disgrace,disgrace,disgrace
.,.,
<<section_title_start>>,<<section_title_start>>,<<section_title_start>>
french,french,french
conquest,conquest,conquest
<<section_title_end>>,<<section_title_end>>,<<section_title_end>>
the,the,the
french,french,french
launched,launched,launched
an,an,an
artillery,artillery,artillery
assault,assault,assault
against,against,against
sikasso,sikasso,sikasso
's,'s,s
tata,tata,tata
in,in,in
april,april,april
<<year>>,<<year>>,<<year>>
",",",",
and,and,and
the,the,the
city,city,city
fell,fell,fell
on,on,on
may,may,may
<<number>>,<<number>>,<<number>>
of,of,of
the,the,the
same,same,same
year,year,year
.,.,
rather,rather,rather
than,than,than
see,see,see
the,the,the
french,french,french
take,take,take
control,control,control
of,of,of
his,his,his
city,city,city
",",",",
fama,fama,fama
babemba,babemba,babemba
ordered,ordered,ordered
his,his,his
guard,guard,guard
to,to,to
kill,kill,kill
him,him,him
.,.,
the,the,the
territory,territory,territory
of,of,of
the,the,the
kénédougou,kndougou,kndougou
kingdom,kingdom,kingdom
wa,wa,wa
soon,soon,soon
assimilated,assimilated,assimilated
into,into,into
the,the,the
colony,colony,colony
of,of,of
french,french,french
sudan,sudan,sudan
",",",",
and,and,and
later,later,later
into,into,into
the,the,the
country,country,country
of,of,of
mali,mali,mali
.,.,
the,the,the
memory,memory,memory
of,of,of
tieba,tieba,tieba
and,and,and
babemba,babemba,babemba
are,are,are
still,still,still
revered,revered,revered
to,to,to
this,this,this
day,day,day
in,in,in
mali,mali,mali
a,a,a
symbol,symbol,symbol
of,of,of
african,african,african
resistance,resistance,resistance
to,to,to
the,the,the
french,french,french
.,.,
<<section_title_start>>,<<section_title_start>>,<<section_title_start>>
references,references,references
<<section_title_end>>,<<section_title_end>>,<<section_title_end>>
<<section_title_start>>,<<section_title_start>>,<<section_title_start>>
sources,sources,sources
<<section_title_end>>,<<section_title_end>>,<<section_title_end>>
pascal,pascal,pascal
james,james,james
imperato,imperato,imperato
.,.,
historical,historical,historical
dictionary,dictionary,dictionary
of,of,of
mali,mali,mali
.,.,
scarecrow,scarecrow,scarecrow
press/,press/,press
metuchen,metuchen,metuchen
.,.,
nj,nj,nj
-,-,
london,london,london
(,(,
<<year>>,<<year>>,<<year>>
),),
pp,pp,pp
.,.,
;,;,
<<number>>,<<number>>,<<number>>
",",",",
<<number>>,<<number>>,<<number>>
",",",",
<<number>>,<<number>>,<<number>>
",",",",
<<number>>,<<number>>,<<number>>
",",",",
<<number>>,<<number>>,<<number>>
west,west,west
africa,africa,africa
the,the,the
fight,fight,fight
for,for,for
survival,survival,survival
category,category,category
:,:,
country,country,country
in,in,in
precolonial,precolonial,precolonial
africa,africa,africa
category,category,category
:,:,
political,political,political
history,history,history
of,of,of
mali,mali,mali
category,category,category
:,:,
french,french,french
west,west,west
africa,africa,africa
<<article_end>>,<<article_end>>,<<article_end>>
<<article_start>>,<<article_start>>,<<article_start>>
,,
ramdurg,ramdurg,ramdurg
state,state,state
wa,wa,wa
one,one,one
of,of,of
the,the,the
maratha,maratha,maratha
empire,empire,empire
princely,princely,princely
state,state,state
ruled,ruled,ruled
by,by,by
the,the,the
bhave,bhave,bhave
family,family,family
during,during,during
the,the,the
british,british,british
raj,raj,raj
.,.,
it,it,it
wa,wa,wa
administered,administered,administered
a,a,a
part,part,part
of,of,of
the,the,the
deccan,deccan,deccan
state,state,state
agency,agency,agency
of,of,of
the,the,the
bombay,bombay,bombay
presidency,presidency,presidency
",",",",
founded,founded,founded
in,in,in
<<year>>,<<year>>,<<year>>
.,.,
it,it,it
wa,wa,wa
one,one,one
of,of,of
the,the,the
former,former,former
state,state,state
of,of,of
the,the,the
southern,southern,southern
maratha,maratha,maratha
country,country,country
and,and,and
it,it,it
capital,capital,capital
wa,wa,wa
at,at,at
ramdurg,ramdurg,ramdurg
.,.,
ramdurg,ramdurg,ramdurg
state,state,state
measured,measured,measured
<<number>>,<<number>>,<<number>>
square,square,square
kilometer,kilometer,kilometer
in,in,in
area,area,area
.,.,
according,according,according
to,to,to
the,the,the
<<year>>,<<year>>,<<year>>
census,census,census
",",",",
the,the,the
population,population,population
wa,wa,wa
<<number>>,<<number>>,<<number>>
.,.,
<<section_title_start>>,<<section_title_start>>,<<section_title_start>>
history,history,history
<<section_title_end>>,<<section_title_end>>,<<section_title_end>>
the,the,the
foundation,foundation,foundation
of,of,of
the,the,the
state,state,state
date,date,date
back,back,back
to,to,to
<<year>>,<<year>>,<<year>>
when,when,when
ramdurg,ramdurg,ramdurg
state,state,state
wa,wa,wa
separated,separated,separated
from,from,from
nargund,nargund,nargund
.,.,
during,during,during
hyder,hyder,hyder
ali,ali,ali
and,and,and
tipu,tipu,tipu
sultan,sultan,sultan
's,'s,s
time,time,time
",",",",
between,between,between
<<year>>,<<year>>,<<year>>
and,and,and
<<year>>,<<year>>,<<year>>
",",",",
ramdurg,ramdurg,ramdurg
wa,wa,wa
occupied,occupied,occupied
by,by,by
the,the,the
kingdom,kingdom,kingdom
of,of,of
mysore,mysore,mysore
.,.,
in,in,in
<<year>>,<<year>>,<<year>>
-,-,
<<year>>,<<year>>,<<year>>
ramdurg,ramdurg,ramdurg
state,state,state
came,came,came
under,under,under
the,the,the
british,british,british
india,india,india
administration,administration,administration
.,.,
ramdurg,ramdurg,ramdurg
acceded,acceded,acceded
to,to,to
the,the,the
dominion,dominion,dominion
of,of,of
india,india,india
on,on,on
<<number>>,<<number>>,<<number>>
march,march,march
<<year>>,<<year>>,<<year>>
and,and,and
is,is,is
currently,currently,currently
a,a,a
part,part,part
of,of,of
karnataka,karnataka,karnataka
state,state,state
and,and,and
territory,territory,territory
of,of,of
india,india,india
.,.,
<<section_title_start>>,<<section_title_start>>,<<section_title_start>>
rulers,rulers,rulers
<<section_title_end>>,<<section_title_end>>,<<section_title_end>>
the,the,the
ruler,ruler,ruler
of,of,of
ramdurg,ramdurg,ramdurg
state,state,state
were,were,were
hindu,hindu,hindu
and,and,and
belonged,belonged,belonged
to,to,to
the,the,the
chitpavan,chitpavan,chitpavan
brahmin,brahmin,brahmin
caste,caste,caste
with,with,with
the,the,the
surname,surname,surname
bhave,bhave,bhave
.,.,
the,the,the
diwan,diwan,diwan
or,or,or
regent,regent,regent
of,of,of
the,the,the
state,state,state
belonged,belonged,belonged
to,to,to
another,another,another
chitpavan,chitpavan,chitpavan
brahmin,brahmin,brahmin
family,family,family
with,with,with
surname,surname,surname
ranade,ranade,ranade
.,.,
the,the,the
ruler,ruler,ruler
from,from,from
bhave,bhave,bhave
family,family,family
used,used,used
the,the,the
title,title,title
of,of,of
raja,raja,raja
.,.,
<<section_title_start>>,<<section_title_start>>,<<section_title_start>>
rajas,rajas,rajas
<<section_title_end>>,<<section_title_end>>,<<section_title_end>>
<<year>>,<<year>>,<<year>>
-,-,
<<year>>,<<year>>,<<year>>
yogirao,yogirao,yogirao
i,i,i
bhave,bhave,bhave
<<year>>,<<year>>,<<year>>
-,-,
<<year>>,<<year>>,<<year>>
ramrao,ramrao,ramrao
i,i,i
bhave,bhave,bhave
(,(,
d.,d.,d
<<year>>,<<year>>,<<year>>
),),
<<year>>,<<year>>,<<year>>
-,-,
<<year>>,<<year>>,<<year>>
occupied,occupied,occupied
by,by,by
mahisur,mahisur,mahisur
(,(,
mysore,mysore,mysore
),),
<<year>>,<<year>>,<<year>>
-,-,
<<year>>,<<year>>,<<year>>
bapurao,bapurao,bapurao
ranade,ranade,ranade
-regent,-regent,regent
<<year>>,<<year>>,<<year>>
-,-,
<<year>>,<<year>>,<<year>>
narayanrao,narayanrao,narayanrao
i,i,i
ramrao,ramrao,ramrao
``,``,
appa,appa,appa
saheb,saheb,saheb
bhave,bhave,bhave
'','',
(,(,
d.,d.,d
<<year>>,<<year>>,<<year>>
),),
<<year>>,<<year>>,<<year>>
-,-,
<<year>>,<<year>>,<<year>>
british,british,british
administration,administration,administration
<<year>>,<<year>>,<<year>>
-,-,
<<year>>,<<year>>,<<year>>
rani,rani,rani
radhabai,radhabai,radhabai
(,(,
f,f,f
),),
(,(,
d.,d.,d
<<year>>,<<year>>,<<year>>
),),
<<year>>,<<year>>,<<year>>
-,-,
<<year>>,<<year>>,<<year>>
ramrao,ramrao,ramrao
ii,ii,ii
narayanrao,narayanrao,narayanrao
bhave,bhave,bhave
<<year>>,<<year>>,<<year>>
-,-,
<<year>>,<<year>>,<<year>>
yogirao,yogirao,yogirao
ii,ii,ii
``,``,
bapu,bapu,bapu
saheb,saheb,saheb
'','',
bhave,bhave,bhave
(,(,
b,b,b
.,.,
<<year>>,<<year>>,<<year>>
-,-,
d.,d.,d
<<year>>,<<year>>,<<year>>
),),
<<number>>,<<number>>,<<number>>
feb,feb,feb
<<year>>,<<year>>,<<year>>
-,-,
<<year>>,<<year>>,<<year>>
vyankatrao,vyankatrao,vyankatrao
yogirao,yogirao,yogirao
bhave,bhave,bhave
(,(,
b,b,b
.,.,
<<year>>,<<year>>,<<year>>
-,-,
d.,d.,d
<<year>>,<<year>>,<<year>>
),),
<<number>>,<<number>>,<<number>>
apr,apr,apr
<<year>>,<<year>>,<<year>>
-,-,
<<year>>,<<year>>,<<year>>
ramrao,ramrao,ramrao
iii,iii,iii
vyankatrao,vyankatrao,vyankatrao
rao,rao,rao
saheb,saheb,saheb
bhave,bhave,bhave
(,(,
b,b,b
.,.,
<<year>>,<<year>>,<<year>>
-,-,
d.,d.,d
<<number>>,<<number>>,<<number>>
..,..,
),),
<<section_title_start>>,<<section_title_start>>,<<section_title_start>>
see,see,see
also,also,also
<<section_title_end>>,<<section_title_end>>,<<section_title_end>>
list,list,list
of,of,of
maratha,maratha,maratha
dynasty,dynasty,dynasty
and,and,and
state,state,state
political,political,political
integration,integration,integration
of,of,of
india,india,india
<<section_title_start>>,<<section_title_start>>,<<section_title_start>>
references,references,references
<<section_title_end>>,<<section_title_end>>,<<section_title_end>>
category,category,category
:,:,
princely,princely,princely
state,state,state
of,of,of
india,india,india
category,category,category
:,:,
bombay,bombay,bombay
presidency,presidency,presidency
category,category,category
:,:,
history,history,history
of,of,of
karnataka,karnataka,karnataka
category,category,category
:,:,
belgaum,belgaum,belgaum
district,district,district
category:1742,category:1742,category1742
establishment,establishment,establishment
in,in,in
india,india,india
<<article_end>>,<<article_end>>,<<article_end>>
<<article_start>>,<<article_start>>,<<article_start>>
,,
nagod,nagod,nagod
state,state,state
(,(,
also,also,also
known,known,known
a,a,a
'nagode,'nagode,nagode
',',
and,and,and
'nagodh,'nagodh,nagodh
',',
),),
wa,wa,wa
a,a,a
princely,princely,princely
state,state,state
of,of,of
british,british,british
raj,raj,raj
",",",",
located,located,located
in,in,in
modern,modern,modern
satna,satna,satna
district,district,district
of,of,of
madhya,madhya,madhya
pradesh,pradesh,pradesh
.,.,
the,the,the
state,state,state
wa,wa,wa
known,known,known
a,a,a
'unchahara,'unchahara,unchahara
',',
from,from,from
the,the,the
name,name,name
of,of,of
unchehara,unchehara,unchehara
it,it,it
original,original,original
capital,capital,capital
until,until,until
the,the,the
<<number>>,<<number>>,<<number>>
century,century,century
.,.,
<<section_title_start>>,<<section_title_start>>,<<section_title_start>>
history,history,history
<<section_title_end>>,<<section_title_end>>,<<section_title_end>>
in,in,in
<<year>>,<<year>>,<<year>>
",",",",
the,the,the
city,city,city
of,of,of
uchchakalpa,uchchakalpa,uchchakalpa
",",",",
present-day,present-day,presentday
unchahara,unchahara,unchahara
",",",",
wa,wa,wa
founded,founded,founded
by,by,by
raja,raja,raja
veerraj,veerraj,veerraj
judeo,judeo,judeo
when,when,when
he,he,he
seized,seized,seized
the,the,the
fort,fort,fort
of,of,of
naro,naro,naro
from,from,from
``,``,
the,the,the
others,others,others
'','',
.,.,
in,in,in
<<year>>,<<year>>,<<year>>
the,the,the
state,state,state
wa,wa,wa
renamed,renamed,renamed
nagod,nagod,nagod
after,after,after
it,it,it
new,new,new
capital,capital,capital
.,.,
in,in,in
<<year>>,<<year>>,<<year>>
nagod,nagod,nagod
wa,wa,wa
a,a,a
tributary,tributary,tributary
to,to,to
panna,panna,panna
state,state,state
and,and,and
wa,wa,wa
included,included,included
in,in,in
the,the,the
sanad,sanad,sanad
(,(,
deed,deed,deed
),),
granted,granted,granted
to,to,to
that,that,that
state,state,state
.,.,
in,in,in
<<year>>,<<year>>,<<year>>
",",",",
however,however,however
",",",",
lal,lal,lal
sheoraj,sheoraj,sheoraj
singh,singh,singh
wa,wa,wa
recognized,recognized,recognized
and,and,and
confirmed,confirmed,confirmed
in,in,in
his,his,his
territory,territory,territory
by,by,by
a,a,a
separate,separate,separate
sanad,sanad,sanad
granted,granted,granted
to,to,to
him,him,him
.,.,
nagod,nagod,nagod
state,state,state
became,became,became
a,a,a
british,british,british
protectorate,protectorate,protectorate
after,after,after
the,the,the
treaty,treaty,treaty
of,of,of
bassein,bassein,bassein
(,(,
<<year>>,<<year>>,<<year>>
),),
in,in,in
<<year>>,<<year>>,<<year>>
.,.,
raja,raja,raja
balbhadra,balbhadra,balbhadra
singh,singh,singh
wa,wa,wa
deposed,deposed,deposed
in,in,in
<<year>>,<<year>>,<<year>>
for,for,for
murdering,murdering,murdering
his,his,his
brother,brother,brother
.,.,
the,the,the
state,state,state
fell,fell,fell
into,into,into
debt,debt,debt
and,and,and
in,in,in
<<year>>,<<year>>,<<year>>
the,the,the
administration,administration,administration
wa,wa,wa
taken,taken,taken
over,over,over
by,by,by
the,the,the
british,british,british
owing,owing,owing
to,to,to
economic,economic,economic
mismanagement,mismanagement,mismanagement
.,.,
the,the,the
ruler,ruler,ruler
wa,wa,wa
loyal,loyal,loyal
during,during,during
the,the,the
indian,indian,indian
mutiny,mutiny,mutiny
in,in,in
<<year>>,<<year>>,<<year>>
and,and,and
wa,wa,wa
granted,granted,granted
the,the,the
pargana,pargana,pargana
of,of,of
dhanwahl,dhanwahl,dhanwahl
.,.,
in,in,in
<<year>>,<<year>>,<<year>>
the,the,the
raja,raja,raja
wa,wa,wa
granted,granted,granted
a,a,a
sanad,sanad,sanad
allowing,allowing,allowing
adoption,adoption,adoption
and,and,and
in,in,in
<<year>>,<<year>>,<<year>>
local,local,local
rule,rule,rule
wa,wa,wa
reestablished,reestablished,reestablished
.,.,
nagod,nagod,nagod
state,state,state
wa,wa,wa
a,a,a
part,part,part
of,of,of
baghelkhand,baghelkhand,baghelkhand
agency,agency,agency
from,from,from
<<year>>,<<year>>,<<year>>
till,till,till
<<year>>,<<year>>,<<year>>
",",",",
when,when,when
it,it,it
wa,wa,wa
transferred,transferred,transferred
along,along,along
with,with,with
other,other,other
smaller,smaller,smaller
state,state,state
back,back,back
to,to,to
bundelkhand,bundelkhand,bundelkhand
agency,agency,agency
.,.,
the,the,the
last,last,last
raja,raja,raja
of,of,of
nagod,nagod,nagod
",",",",
hh,hh,hh
shrimant,shrimant,shrimant
mahendra,mahendra,mahendra
singh,singh,singh
",",",",
signed,signed,signed
the,the,the
accession,accession,accession
of,of,of
his,his,his
state,state,state
to,to,to
the,the,the
dominion,dominion,dominion
of,of,of
india,india,india
on,on,on
<<number>>,<<number>>,<<number>>
january,january,january
<<year>>,<<year>>,<<year>>
.,.,
<<section_title_start>>,<<section_title_start>>,<<section_title_start>>
rulers,rulers,rulers
<<section_title_end>>,<<section_title_end>>,<<section_title_end>>
the,the,the
gurjara-pratihara,gurjara-pratihara,gurjarapratihara
dynasty,dynasty,dynasty
dynasty,dynasty,dynasty
ruling,ruling,ruling
family,family,family
were,were,were
member,member,member
were,were,were
entitled,entitled,entitled
to,to,to
a,a,a
hereditary,hereditary,hereditary
gun,gun,gun
salute,salute,salute
state,state,state
of,of,of
<<number>>,<<number>>,<<number>>
gun,gun,gun
.,.,
<<section_title_start>>,<<section_title_start>>,<<section_title_start>>
rajas,rajas,rajas
<<section_title_end>>,<<section_title_end>>,<<section_title_end>>
<<year>>,<<year>>,<<year>>
–,,
<<year>>,<<year>>,<<year>>
fakir,fakir,fakir
shah,shah,shah
<<year>>,<<year>>,<<year>>
–,,
<<year>>,<<year>>,<<year>>
chain,chain,chain
singh,singh,singh
<<year>>,<<year>>,<<year>>
–,,
<<year>>,<<year>>,<<year>>
ahlad,ahlad,ahlad
singh,singh,singh
<<year>>,<<year>>,<<year>>
–,,
<<year>>,<<year>>,<<year>>
lal,lal,lal
sheoraj,sheoraj,sheoraj
(,(,
shivraj,shivraj,shivraj
),),
singh,singh,singh
(,(,
b,b,b
.,.,
<<year>>,<<year>>,<<year>>
–,,
d.,d.,d
<<year>>,<<year>>,<<year>>
),),
<<year>>,<<year>>,<<year>>
–,,
<<year>>,<<year>>,<<year>>
balbhadra,balbhadra,balbhadra
singh,singh,singh
<<year>>,<<year>>,<<year>>
–,,
<<number>>,<<number>>,<<number>>
february,february,february
<<year>>,<<year>>,<<year>>
raghubindh,raghubindh,raghubindh
(,(,
raghvendra,raghvendra,raghvendra
),),
singh,singh,singh
(,(,
b,b,b
.,.,
<<year>>,<<year>>,<<year>>
–,,
d.,d.,d
<<year>>,<<year>>,<<year>>
),),
<<number>>,<<number>>,<<number>>
feb,feb,feb
<<year>>,<<year>>,<<year>>
–,,
<<number>>,<<number>>,<<number>>
november,november,november
<<year>>,<<year>>,<<year>>
jadubindh,jadubindh,jadubindh
(,(,
jadvendra,jadvendra,jadvendra
),),
singh,singh,singh
(,(,
b,b,b
.,.,
<<year>>,<<year>>,<<year>>
–,,
d.,d.,d
<<year>>,<<year>>,<<year>>
),),
<<number>>,<<number>>,<<number>>
november,november,november
<<year>>,<<year>>,<<year>>
–,,
<<number>>,<<number>>,<<number>>
february,february,february
<<year>>,<<year>>,<<year>>
narharendra,narharendra,narharendra
singh,singh,singh
(,(,
b,b,b
.,.,
<<year>>,<<year>>,<<year>>
–,,
d.,d.,d
<<year>>,<<year>>,<<year>>
),),
<<number>>,<<number>>,<<number>>
feb,feb,feb
<<year>>,<<year>>,<<year>>
–,,
<<number>>,<<number>>,<<number>>
august,august,august
<<year>>,<<year>>,<<year>>
mahendra,mahendra,mahendra
singh,singh,singh
<<section_title_start>>,<<section_title_start>>,<<section_title_start>>
see,see,see
also,also,also
<<section_title_end>>,<<section_title_end>>,<<section_title_end>>
panna,panna,panna
state,state,state
political,political,political
integration,integration,integration
of,of,of
india,india,india
<<section_title_start>>,<<section_title_start>>,<<section_title_start>>
references,references,references
<<section_title_end>>,<<section_title_end>>,<<section_title_end>>
category,category,category
:,:,
princely,princely,princely
state,state,state
of,of,of
india,india,india
category,category,category
:,:,
satna,satna,satna
district,district,district
category,category,category
:,:,
rajput,rajput,rajput
<<article_end>>,<<article_end>>,<<article_end>>
<<article_start>>,<<article_start>>,<<article_start>>
,,
the,the,the
family,family,family
of,of,of
baban,baban,baban
(,(,
<<year>>–1850,<<year>>1850,<<year>>1850
),),
ruled,ruled,ruled
a,a,a
kurdish,kurdish,kurdish
principality,principality,principality
which,which,which
encompassed,encompassed,encompassed
area,area,area
of,of,of
present-day,present-day,presentday
iraqi,iraqi,iraqi
kurdistan,kurdistan,kurdistan
and,and,and
western,western,western
iran,iran,iran
from,from,from
the,the,the
early,early,early
<<number>>,<<number>>,<<number>>
century,century,century
until,until,until
<<year>>,<<year>>,<<year>>
.,.,
the,the,the
baban,baban,baban
principality,principality,principality
played,played,played
an,an,an
active,active,active
role,role,role
in,in,in
